2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019/09/24 17:11:13.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:11:43.262963 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:12:13.263176 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:12:43.263002 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:13:13.262966 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:13:43.263067 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:14:13.262992 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:14:43.262982 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:15:13.263100 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:15:43.262907 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:16:13.262884 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:16:43.262957 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:17:13.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:17:43.262942 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:18:13.263004 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:18:43.262991 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:19:13.263015 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:19:43.263155 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:20:13.262967 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:20:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:21:13.263015 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:21:43.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:22:13.263001 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:22:43.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:23:13.262951 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:23:43.262938 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:24:13.262929 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:24:43.262902 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:25:13.262922 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:25:43.262918 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:26:13.262931 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:26:43.263050 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:27:13.263066 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:27:43.263066 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:28:13.262949 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:28:43.263053 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:29:13.262974 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:29:43.263044 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:30:13.263011 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:30:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:31:13.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:31:43.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:32:13.264205 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:32:43.262901 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:33:13.262895 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:33:43.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:34:13.262947 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:34:43.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:35:13.263241 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:35:43.263067 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:36:13.262918 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:36:43.262935 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:37:13.262983 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:37:43.263007 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:38:13.263064 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:38:43.263000 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:39:13.263002 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:39:43.263034 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:40:13.262955 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:40:43.262913 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:41:13.262938 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:41:43.262935 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:42:13.262955 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:42:43.263056 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:43:13.263114 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:43:43.262988 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:44:13.262974 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:44:43.263322 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:45:13.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:45:43.263087 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:46:13.263040 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:46:43.262973 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:47:13.262941 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:47:43.262917 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:48:13.262891 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:48:43.262916 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:49:13.262942 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:49:43.262950 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:50:13.263037 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:50:43.262911 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:51:13.263106 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:51:43.263131 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:52:13.263081 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:52:43.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:53:13.262893 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:53:43.263045 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:54:13.263076 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:54:43.262952 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:55:13.262891 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:55:43.262901 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:56:13.263596 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:56:43.262989 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:57:13.263040 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:57:43.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:58:13.263123 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:58:43.262949 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:59:13.263007 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:59:43.262955 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:00:13.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:00:43.262923 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:01:13.263017 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:01:43.262933 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:02:13.262925 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:02:43.262889 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:03:13.262928 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:03:43.262940 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:04:13.262992 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:04:43.262955 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:05:13.262922 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:05:43.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:06:13.263001 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:06:43.263009 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:07:13.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:07:43.262913 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:08:13.262976 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:08:43.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:09:13.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:09:43.263075 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:10:13.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:10:43.262928 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:11:13.262898 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:11:43.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:12:13.262942 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:12:43.262991 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:13:13.263039 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:13:43.262882 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:14:13.263000 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:14:43.262986 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:15:13.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:15:43.263015 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:16:13.263079 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:16:43.262950 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:17:13.262893 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:17:43.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:18:13.262909 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:18:43.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:19:13.262872 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:19:43.262910 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:20:13.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:20:43.263056 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:21:13.262898 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:21:43.262921 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:22:13.262964 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:22:43.262986 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:23:13.262980 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:23:43.262917 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:24:13.262978 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:24:43.262953 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:25:13.263054 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:25:43.262992 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:26:13.262926 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:26:43.262926 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:27:13.262869 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:27:43.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:28:13.263010 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:28:43.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:29:13.263024 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:29:43.263056 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:30:13.263009 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:30:43.262995 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:31:13.262945 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:31:43.263050 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:32:13.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:32:43.262924 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:33:13.262931 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:33:43.263074 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:34:13.262958 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:34:43.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:35:13.263007 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:35:43.263068 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:36:13.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:36:43.263653 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:37:13.262943 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:37:43.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:38:13.262977 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:38:43.262918 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:39:13.262889 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:39:43.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:40:13.263037 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:40:43.263124 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:41:13.263033 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:41:43.262891 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:42:13.263029 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:42:43.262958 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:43:13.263024 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:43:43.263598 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:44:13.263138 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:44:43.262885 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:45:13.262908 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:45:43.262900 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:46:13.262941 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:46:43.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:47:13.262938 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:47:43.263065 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:48:13.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:48:43.262964 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:49:13.262904 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:49:43.263020 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:50:13.262985 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:50:43.263073 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:51:13.262963 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:51:43.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:52:13.262908 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:52:43.262949 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:53:13.262973 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:53:43.263041 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:54:13.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:54:43.262967 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:55:13.263055 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:55:43.263086 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:56:13.263025 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:56:43.263060 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:57:13.263048 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:57:43.262979 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:58:13.262919 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:58:43.262913 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:59:13.262904 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 18:59:43.263013 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:00:13.262937 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:00:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:01:13.262993 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:01:43.262939 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:02:13.262998 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:02:43.263094 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:03:13.263123 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:03:43.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:04:13.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:04:43.262921 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:05:13.262960 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:05:43.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:06:13.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:06:43.263084 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:07:13.262896 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:07:43.262911 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:08:13.262886 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:08:43.262981 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:09:13.263035 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:09:43.262912 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:10:13.262954 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:10:43.262874 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:11:13.262896 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:11:43.262900 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:12:13.262977 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:12:43.262984 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:13:13.263078 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:13:43.263125 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:14:13.263160 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:14:43.263070 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:15:13.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:15:43.262989 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:16:13.263605 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:16:43.263172 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:17:13.262936 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:17:43.262955 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:18:13.262908 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:18:43.262947 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 19:19:13.262992 metrics.go:34: INFO No non-zero metrics in the last 30s
